변경구분,상점ID,상점명,할증ID,할증명,할증유형,판가(전→후),원가(전→후),종료일
매핑해제,196908,요기요OD_단건_성북길음지점/강북도봉,147706,요기요OD_아침배송,WEEKLY_HOURS,1100,1000,
매핑해제,196908,요기요OD_단건_성북길음지점/강북도봉,83080,요기요OD 주류배송 할증,LIQUOR,550,500,
매핑해제,198466,CU 길음센터피스점,11524,CU편의점 야간할증,WEEKLY_HOURS,550,500,
매핑해제,198466,CU 길음센터피스점,60549,[성북종암] 클라시아센터피스 500원,POLYGON,0,500,
매핑해제,203726,CU 상왕십리역점,11524,CU편의점 야간할증,WEEKLY_HOURS,550,500,
매핑해제,203726,CU 상왕십리역점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,203726,CU 상왕십리역점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,210158,전담GATE 한양대점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,210158,전담GATE 한양대점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,210158,전담GATE 한양대점,18704,"프라임 픽업할증_1,100원",UNCONDITIONAL,1100,1000,
매핑해제,212987,CU 옥수래미안리버젠점,11524,CU편의점 야간할증,WEEKLY_HOURS,550,500,
매핑해제,212987,CU 옥수래미안리버젠점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,212987,CU 옥수래미안리버젠점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,216683,GS25 신금호역점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,216683,GS25 신금호역점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,219944,올리브영 한성대입구역점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,220823,[유휴]올리브영 한성대입구역점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,228336,CU 응봉사랑점,11524,CU편의점 야간할증,WEEKLY_HOURS,550,500,
매핑해제,228336,CU 응봉사랑점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,228336,CU 응봉사랑점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,228523,CU 행당삼부소월점,11524,CU편의점 야간할증,WEEKLY_HOURS,550,500,
매핑해제,228523,CU 행당삼부소월점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,228523,CU 행당삼부소월점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,231733,CU 응봉역점,11524,CU편의점 야간할증,WEEKLY_HOURS,550,500,
매핑해제,231733,CU 응봉역점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,231733,CU 응봉역점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,231761,CU 동선대로점,11524,CU편의점 야간할증,WEEKLY_HOURS,550,500,
매핑해제,231761,CU 동선대로점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,233841,(선택)파리바게뜨 종암사거리점,149020,[성북동선] 프로모션할증 1000,UNCONDITIONAL,0,1000,
매핑해제,236669,GS25 성동샤르망점,144421,[성동행당]*특별할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,236669,GS25 성동샤르망점,151598,[성동행당]*특별야간할증,WEEKLY_HOURS,0,1000,2026-07-21
매핑해제,237784,[길음역]길음역라와마라탕 1층,103803,"[성북월곡] 제기,청량리 1,100원",POLYGON,1100,1000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,133414,"[성북월곡] 제기,청량리 550원",POLYGON,550,500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,139394,"[성북월곡] 용두동 1,100원",POLYGON,1100,1000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,140631,"[성북월곡] 공릉동 4,400원",POLYGON,4400,4000,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90038,[성북월곡]정릉동4구역 550원,POLYGON,550,500,
매핑해제,237784,[길음역]길음역라와마라탕 1층,90040,[성북월곡]정릉동3구역 1650,POLYGON,1650,1500,
