상점_ID,상점명,관심상점_여부,분석_오더_건수,조기도착_건수,조기도착_비중_%,지각도착_건수,지각도착_비중_%,요청대비_도착차이_평균_분,조기_요청대비_픽업차이_평균_분,조기_도착후_대기_평균_분,지각_요청대비_픽업차이_평균_분,지각_도착후_대기_평균_분,타상점50건_조기도착_비중_%,타상점50건_지각도착_비중_%,타상점50건_요청대비_도착차이_평균_분,타상점50건_조기_요청대비_픽업차이_평균_분,타상점50건_조기_도착후_대기_평균_분,타상점50건_지각_요청대비_픽업차이_평균_분,타상점50건_지각_도착후_대기_평균_분,조기도착_비중_타상점대비_차이_pp,지각도착_비중_타상점대비_차이_pp,요청대비_도착차이_타상점대비_차이_분,조기_요청대비_픽업차이_타상점대비_차이_분,조기_대기_타상점대비_차이_분,지각_요청대비_픽업차이_타상점대비_차이_분,지각_대기_타상점대비_차이_분
264220,[직영A] 굽네치킨 답십리1호점,N,74,44,59.46,30,40.54,1.04,-1.18,3.27,9.99,0.9,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-9.61,9.61,3.46,2.83,0.41,1.72,0.15
262090,[직영A] 맘스터치 휘경여고점,N,73,42,57.53,31,42.47,2.48,-2.63,0.76,11.25,0.81,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-11.54,11.54,4.9,1.38,-2.1,2.98,0.06
262720,스타벅스 경희대,N,68,58,85.29,10,14.71,-5.16,-5.47,1.4,5.08,0.32,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,16.22,-16.22,-2.74,-1.46,-1.46,-3.19,-0.43
261842,[직영A]오늘도김볶만 회기점,N,62,38,61.29,24,38.71,1.21,-3.46,1.15,11.32,0.89,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-7.78,7.78,3.63,0.55,-1.71,3.05,0.14
263892,GS더프레시 이문파크자이점,N,58,40,68.97,18,31.03,-2.27,-4.77,0.76,5.94,0.98,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-0.1,0.1,0.15,-0.76,-2.1,-2.33,0.23
264581,[직영A] 교촌치킨 답십리1호점,N,58,33,56.9,25,43.1,0.12,-4.23,2.36,9.62,0.64,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-12.17,12.17,2.54,-0.22,-0.5,1.35,-0.11
54148,◇[유휴]올리브영 경희대점,N,57,42,73.68,15,26.32,-3.79,-7.75,0.49,9.11,0.45,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,4.61,-4.61,-1.37,-3.74,-2.37,0.84,-0.3
102609,올리브영 서울시립대점,N,57,46,80.7,11,19.3,-6.61,-8.99,0.5,5.83,0.41,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,11.63,-11.63,-4.19,-4.98,-2.36,-2.44,-0.34
261818,[직영A] 보울리쉬 포케&샐러드 청량리점,N,57,47,82.46,10,17.54,-4.0,-4.51,2.01,8.65,0.79,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,13.39,-13.39,-1.58,-0.5,-0.85,0.38,0.04
263552,[직영A]도야족발보쌈 장안점,N,57,22,38.6,35,61.4,5.71,-4.43,1.66,13.71,0.59,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-30.47,30.47,8.13,-0.42,-1.2,5.44,-0.16
261811,[직영A] 진교동찜닭 제기동점,N,56,34,60.71,22,39.29,0.24,-1.63,4.15,9.94,0.39,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-8.36,8.36,2.66,2.38,1.29,1.67,-0.36
54143,[유휴]올리브영 장안동사거리점,N,54,40,74.07,14,25.93,-3.33,-7.66,0.35,10.96,0.94,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,5.0,-5.0,-0.91,-3.65,-2.51,2.69,0.19
261772,[직영A] 육연식당,N,51,25,49.02,26,50.98,3.81,-4.49,0.58,13.1,0.75,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-20.05,20.05,6.23,-0.48,-2.28,4.83,0.0
101306,GS25 전농사거리점,N,50,39,78.0,11,22.0,-4.03,-5.38,1.25,6.57,1.35,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,8.93,-8.93,-1.61,-1.37,-1.61,-1.7,0.6
264351,[직영A]이삭토스트 장안현대점,N,46,29,63.04,17,36.96,-1.2,-4.26,1.76,7.48,0.48,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-6.03,6.03,1.22,-0.25,-1.1,-0.79,-0.27
262096,[직영A] 매콤화담쭈꾸미,N,45,22,48.89,23,51.11,3.15,-1.95,4.09,13.54,1.61,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-20.18,20.18,5.57,2.06,1.23,5.27,0.86
78872,◇[유휴]올리브영 회기중앙점,N,44,36,81.82,8,18.18,-3.39,-7.1,0.68,16.82,0.43,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,12.75,-12.75,-0.97,-3.09,-2.18,8.55,-0.32
265611,[직영A]처갓집양념치킨 답십리점,N,43,30,69.77,13,30.23,-1.92,-4.12,1.45,7.45,0.94,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,0.7,-0.7,0.5,-0.11,-1.41,-0.82,0.19
56158,GS25 장안행복점,N,41,34,82.93,7,17.07,-5.64,-6.59,0.7,3.13,0.75,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,13.86,-13.86,-3.22,-2.58,-2.16,-5.14,0.0
30121,(창)올리브영 신설동역점,N,40,22,55.0,18,45.0,-0.35,-7.8,0.65,10.05,0.5,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-14.07,14.07,2.07,-3.79,-2.21,1.78,-0.25
262059,[직영A] 59쌀피자 안암오거리점,N,40,22,55.0,18,45.0,4.01,-1.65,3.69,16.04,0.61,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-14.07,14.07,6.43,2.36,0.83,7.77,-0.14
263787,[직영A] 본죽&비빔밥 제기동역점,N,38,23,60.53,15,39.47,-1.45,-5.76,0.72,7.27,1.0,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,-8.54,8.54,0.97,-1.75,-2.14,-1.0,0.25
264031,[직영A] 스시화 동대문점,N,36,26,72.22,10,27.78,-3.63,-4.41,2.56,9.92,4.88,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,3.15,-3.15,-1.21,-0.4,-0.3,1.65,4.13
265969,[직영A]비비큐 장한평역점,N,36,26,72.22,10,27.78,-0.78,-0.47,4.82,11.16,0.2,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,3.15,-3.15,1.64,3.54,1.96,2.89,-0.55
263858,[직영A] 청량집,N,35,28,80.0,7,20.0,-1.76,-2.68,2.11,10.61,0.24,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,10.93,-10.93,0.66,1.33,-0.75,2.34,-0.51
261882,[직영A] 노모어피자 경희대점,N,34,25,73.53,9,26.47,-3.24,-2.4,4.23,6.9,0.7,69.07,30.93,-2.42,-4.01,2.86,8.27,0.75,4.46,-4.46,-0.82,1.61,1.37,-1.37,-0.05
