store_id,sgg,admin_dong
145205,성동구,금호2·3가동
145206,성동구,금호4가동
145250,성북구,종암동
145853,성북구,안암동
146056,성동구,행당1동
146296,성북구,정릉2동
146745,성동구,옥수동
147163,성북구,돈암2동
147549,성동구,금호2·3가동
147647,성북구,삼선동
148221,성동구,행당2동
148362,성북구,성북동
148713,성동구,금호4가동
148975,성북구,길음1동
149324,성동구,행당2동
149325,성동구,사근동
149590,성북구,안암동
149591,성북구,삼선동
149741,성동구,왕십리도선동
149804,성북구,길음2동
149837,성동구,마장동
150531,성북구,삼선동
150641,성북구,종암동
150645,성북구,안암동
150662,성동구,행당1동
150786,성북구,안암동
151230,성동구,마장동
151865,성북구,동선동
151867,성북구,종암동
152210,성동구,금호1가동
152306,성동구,금호1가동
152316,성동구,금호2·3가동
152328,성동구,왕십리도선동
152344,성동구,금호1가동
152433,성북구,길음1동
152747,성동구,사근동
152867,성북구,동선동
153183,성동구,왕십리2동
153419,성북구,안암동
153434,성북구,안암동
153635,성북구,동선동
153669,성동구,왕십리도선동
154070,성동구,행당1동
154245,성북구,안암동
154862,성북구,삼선동
155330,성북구,길음2동
155371,성북구,길음2동
155405,성동구,금호4가동
155449,성동구,왕십리도선동
156160,성동구,금호4가동
157417,성북구,돈암2동
158793,성동구,왕십리2동
158869,성동구,금호2·3가동
158870,성동구,금호2·3가동
158972,성북구,성북동
160131,성동구,행당2동
160540,성동구,금호4가동
160712,성북구,동선동
160768,성북구,성북동
161138,성동구,왕십리2동
161683,성북구,성북동
164208,성동구,사근동
164211,성북구,종암동
164212,성북구,동선동
165271,성동구,옥수동
165275,성동구,행당2동
165276,성동구,행당1동
165277,성북구,돈암1동
165278,성북구,돈암1동
165279,성북구,동선동
165280,성북구,보문동
165281,성북구,보문동
165282,성북구,삼선동
165287,성북구,성북동
165565,성북구,동선동
165701,성동구,마장동
165702,성북구,종암동
165703,성북구,동선동
166319,성동구,금호4가동
166320,성동구,응봉동
166321,성동구,행당1동
166322,성동구,행당1동
166365,성북구,길음2동
166913,성북구,보문동
167041,성북구,돈암2동
167656,성동구,옥수동
170816,성북구,종암동
171306,성북구,정릉1동
171522,성북구,동선동
173387,성북구,삼선동
173439,성북구,동선동
173670,성동구,왕십리도선동
173785,성북구,종암동
176660,성동구,금호4가동
176980,성북구,종암동
177024,성북구,보문동
177147,성동구,왕십리도선동
177743,성동구,금호2·3가동
177790,성동구,왕십리도선동
178634,성북구,동선동
179743,성북구,돈암1동
179744,성북구,종암동
180181,성북구,성북동
180574,성북구,돈암2동
180586,성동구,행당1동
180654,성동구,행당1동
180997,성동구,행당1동
181733,성동구,왕십리도선동
181734,성동구,금호1가동
181735,성동구,금호2·3가동
181736,성동구,행당1동
181737,성동구,사근동
181738,성동구,행당1동
181739,성동구,행당2동
181740,성동구,금호2·3가동
181741,성동구,금호4가동
181742,성북구,동선동
181743,성북구,보문동
181744,성북구,성북동
181745,성북구,동선동
181747,성북구,종암동
185532,성동구,금호4가동
185841,성동구,금호2·3가동
186019,성북구,종암동
186063,성북구,종암동
186220,성동구,마장동
186239,성동구,행당1동
186925,성북구,종암동
186926,성북구,종암동
186929,성북구,돈암1동
186931,성북구,종암동
186932,성북구,종암동
186934,성북구,길음1동
186935,성북구,종암동
186936,성북구,종암동
186937,성북구,길음2동
186938,성북구,돈암1동
187278,성북구,길음2동
187285,성북구,종암동
187286,성북구,길음2동
187287,성북구,종암동
187357,성북구,종암동
187358,성북구,종암동
187468,성북구,종암동
187469,성북구,종암동
187470,성북구,길음1동
187471,성북구,길음1동
187472,성북구,종암동
187473,성북구,종암동
187474,성북구,종암동
187819,성북구,종암동
187820,성북구,종암동
187821,성북구,종암동
187823,성북구,종암동
187824,성북구,종암동
188183,성북구,종암동
188184,성북구,길음2동
188185,성북구,돈암1동
188186,성북구,종암동
188187,성북구,종암동
188754,성북구,종암동
188923,성북구,종암동
188991,성북구,종암동
189156,성북구,돈암1동
189497,성북구,길음1동
189500,성북구,종암동
189525,성북구,정릉1동
189544,성북구,길음1동
189876,성북구,종암동
190039,성북구,안암동
190040,성북구,안암동
190466,성동구,금호2·3가동
191428,성동구,행당1동
191686,성북구,길음1동
191695,성북구,길음1동
191848,성북구,돈암2동
193295,성북구,종암동
193683,성북구,동선동
193684,성북구,동선동
193685,성북구,동선동
193686,성북구,안암동
193687,성북구,정릉2동
193688,성북구,종암동
193877,성북구,동선동
193878,성북구,동선동
193879,성북구,동선동
193880,성북구,안암동
193881,성북구,정릉2동
193882,성북구,종암동
194154,성북구,길음1동
194773,성동구,왕십리도선동
194829,성북구,길음2동
194837,성북구,정릉1동
194979,성동구,금호2·3가동
194980,성동구,왕십리도선동
195739,성북구,길음2동
196190,성동구,왕십리도선동
196198,성동구,왕십리도선동
196557,성북구,동선동
196907,성북구,길음2동
196908,성북구,길음2동
197553,성동구,사근동
197554,성동구,사근동
197624,성북구,종암동
197631,성북구,종암동
197791,성북구,종암동
197793,성북구,종암동
197794,성북구,길음1동
197797,성북구,종암동
197804,성북구,종암동
197888,성북구,길음1동
197892,성북구,길음2동
197899,성북구,길음2동
198466,성북구,길음2동
198467,성북구,길음2동
198468,성북구,종암동
198967,성북구,길음1동
199404,성동구,왕십리도선동
203726,성동구,왕십리도선동
206238,성북구,길음1동
206641,성동구,마장동
206841,성북구,종암동
208206,성동구,왕십리도선동
