store_id,store_name,sgg,admin_dong,last_order_at,order_cnt_3m
238259,파리바게뜨 왕십리무학점,성동구,왕십리도선동,2026-06-28T12:51:16+09:00,16
181733,(선택)파리바게뜨 왕십리무학점,성동구,왕십리도선동,2026-06-28T12:48:15+09:00,9
181744,(선택)배스킨라빈스 한성대입구역점,성북구,성북동,2026-06-28T11:44:18+09:00,84
181743,(선택)배스킨라빈스 보문역점,성북구,보문동,2026-06-28T11:40:51+09:00,80
234049,(선택)파리바게뜨 정릉대림점,성북구,정릉1동,2026-06-28T11:40:15+09:00,6
117550,즉) 아리따움 한성대점,성북구,성북동,2026-06-28T11:03:45+09:00,22
65841,GS25 성북동진점,성북구,종암동,2026-06-28T10:51:32+09:00,56
97404,파리바게뜨 마장역점,성동구,마장동,2026-06-28T10:37:48+09:00,14
37420,CU 왕십리텐즈힐점,성동구,왕십리도선동,2026-06-27T22:18:02+09:00,24
95461,GS25 성북한성점,성북구,성북동,2026-06-27T21:31:16+09:00,5
35690,홈플러스익스프레스 옥수점,성동구,옥수동,2026-06-27T21:00:36+09:00,97
36658,CU 행당대림점,성동구,행당2동,2026-06-27T20:40:02+09:00,17
138769,CU 옥수극동점,성동구,옥수동,2026-06-27T20:28:39+09:00,15
56423,GS25 왕십리청계천점,성동구,왕십리도선동,2026-06-27T19:11:43+09:00,8
76910,CU 금호래미안점,성동구,금호2·3가동,2026-06-27T19:10:59+09:00,16
154862,GS25 성북구청점,성북구,삼선동,2026-06-27T18:33:16+09:00,60
233915,(선택)배스킨라빈스 왕십리센트라스점,성동구,왕십리도선동,2026-06-27T16:07:27+09:00,57
152747,GS25 한양제일점,성동구,사근동,2026-06-27T14:45:04+09:00,23
60746,GS25 옥수상떼뷰점,성동구,옥수동,2026-06-27T11:48:49+09:00,14
181747,(선택)배스킨라빈스 성북종암점,성북구,종암동,2026-06-26T19:48:49+09:00,152
53499,CU 동소문중앙점,성북구,동선동,2026-06-26T19:45:31+09:00,15
257468,[길음역]치킨매니아플러스 길음점,성북구,길음1동,2026-06-26T19:36:19+09:00,24
212987,CU 옥수래미안리버젠점,성동구,옥수동,2026-06-26T19:30:52+09:00,9
23963,파리바게뜨 한성대역점,성북구,성북동,2026-06-26T16:56:12+09:00,23
228336,CU 응봉사랑점,성동구,응봉동,2026-06-26T15:29:43+09:00,10
83936,혜성한의원(금호점),성동구,금호4가동,2026-06-26T14:19:15+09:00,17
234055,(선택)파리바게뜨 길음동부점,성북구,길음2동,2026-06-26T11:08:10+09:00,9
53573,CU 성북삼선교점,성북구,삼선동,2026-06-25T19:32:40+09:00,31
118739,슈퍼키친 상왕십리,성동구,왕십리도선동,2026-06-25T18:07:43+09:00,13
99998,파리바게뜨 한양대학교병원점,성동구,사근동,2026-06-24T19:06:59+09:00,5
56033,GS25 왕십리무학봉점,성동구,왕십리2동,2026-06-24T18:19:17+09:00,16
64859,세븐일레븐 한양대타운점,성동구,사근동,2026-06-24T14:38:05+09:00,14
54384,뚜레쥬르 금호역점,성동구,금호2·3가동,2026-06-23T20:52:13+09:00,38
59080,GS25 보문역점,성북구,보문동,2026-06-23T18:27:10+09:00,39
191428,(선택)파리바게뜨 왕십리역사점,성동구,행당1동,2026-06-23T17:53:17+09:00,27
243551,슈퍼키친 신금호역점,성동구,금호2·3가동,2026-06-23T13:07:49+09:00,16
61141,GS25 성신사랑점,성북구,동선동,2026-06-22T18:55:05+09:00,23
61137,GS25 종암타운점,성북구,종암동,2026-06-22T18:07:42+09:00,6
24112,파리바게뜨 동소문점,성북구,동선동,2026-06-22T17:21:50+09:00,10
33132,파리바게뜨 응봉점,성동구,응봉동,2026-06-21T20:38:15+09:00,22
60739,GS25 사근본점,성동구,사근동,2026-06-21T15:51:04+09:00,7
24399,파리바게뜨 왕십리텐즈힐점,성동구,왕십리도선동,2026-06-21T13:33:32+09:00,3
248795,빽다방 한양대점,성동구,사근동,2026-06-21T09:19:25+09:00,8
87761,GS25 동소문타운점,성북구,동선동,2026-06-20T23:19:08+09:00,23
87752,GS25 동소문제일점,성북구,삼선동,2026-06-20T21:31:18+09:00,17
198466,CU 길음센터피스점,성북구,길음2동,2026-06-20T20:22:58+09:00,1
181745,(선택)배스킨라빈스 성신여대점,성북구,동선동,2026-06-20T20:20:47+09:00,70
66262,GS25 종암파크점,성북구,종암동,2026-06-19T20:16:01+09:00,5
228523,CU 행당삼부소월점,성동구,행당1동,2026-06-19T19:18:11+09:00,5
255575,GS25 마장세림점,성동구,마장동,2026-06-18T20:01:44+09:00,9
126087,CU 행당레몬점,성동구,행당1동,2026-06-18T19:48:34+09:00,4
166321,CU 왕십리큐브스테이트점,성동구,행당1동,2026-06-18T15:48:49+09:00,10
67216,CU 왕십리KCC점,성동구,왕십리2동,2026-06-17T20:26:43+09:00,7
65802,GS25 서울숲푸르지오점,성동구,금호4가동,2026-06-17T19:51:00+09:00,10
181735,(선택)파리바게뜨 신금호역점,성동구,금호2·3가동,2026-06-16T16:47:01+09:00,14
38767,파리바게뜨 종암점,성북구,종암동,2026-06-16T16:32:29+09:00,13
97054,[길음뉴타운]뚜레쥬르 길음뉴타운,성북구,길음1동,2026-06-16T15:27:19+09:00,12
60744,GS25 왕십리도선점,성동구,왕십리도선동,2026-06-15T13:12:13+09:00,1
233994,(선택)파리바게뜨 안암역점,성북구,안암동,2026-06-13T19:15:08+09:00,8
24206,파리바게뜨 성동구민회관점,성동구,행당1동,2026-06-13T11:46:37+09:00,28
65147,GS25 길음역점,성북구,길음1동,2026-06-11T13:42:51+09:00,2
41562,CU 금호동3가점,성동구,금호2·3가동,2026-06-10T13:53:01+09:00,11
118976,슈퍼키친 옥수역,성동구,옥수동,2026-06-09T13:44:17+09:00,33
53569,CU 성동행당점,성동구,행당1동,2026-06-07T14:16:02+09:00,1
158972,CU 동소문본점,성북구,성북동,2026-06-06T15:58:46+09:00,3
216683,GS25 신금호역점,성동구,금호2·3가동,2026-06-06T13:07:21+09:00,3
151230,GS25 마장힐스점,성동구,마장동,2026-05-31T18:27:14+09:00,9
234057,(선택)파리바게뜨 길음역점,성북구,길음1동,2026-05-30T14:34:49+09:00,3
56455,GS25 중앙병원점,성북구,종암동,2026-05-21T15:35:34+09:00,6
67218,CU 도선공원점,성동구,왕십리도선동,2026-05-20T20:03:14+09:00,10
126090,CU 신금호파크자이점,성동구,금호2·3가동,2026-05-15T21:54:11+09:00,1
95457,GS25 성북보문점,성북구,보문동,2026-05-13T21:52:11+09:00,7
165280,CU 성북보문점,성북구,보문동,2026-05-10T16:10:55+09:00,1
160540,CU 금호사거리점,성동구,금호4가동,2026-05-09T15:15:21+09:00,3
53570,CU 성북로데오점,성북구,동선동,2026-05-08T19:41:21+09:00,8
38887,CU 마장서울점,성동구,마장동,2026-05-06T19:47:08+09:00,1
53500,CU 동소문태양점,성북구,성북동,2026-05-05T13:30:25+09:00,2
51209,CU 금호한신점,성동구,금호2·3가동,2026-04-27T19:59:31+09:00,1
90993,세븐일레븐 성북돈암초교점,성북구,동선동,2026-04-19T16:32:55+09:00,2
75515,세븐일레븐 마장하영점,성동구,마장동,2026-04-17T20:06:13+09:00,1
48790,맥도날드 종암SK점,성북구,종암동,2026-04-15T15:52:12+09:00,2
126086,CU 성동벽산점,성동구,왕십리도선동,2026-04-14T15:11:45+09:00,3
233970,(선택)파리바게뜨 정릉서경점,성북구,정릉1동,2026-04-13T10:48:10+09:00,1
148362,이마트에브리데이 성북동점,성북구,성북동,2026-04-07T10:33:15+09:00,8
